id_de_compañia,niu,id_contrato,nombre_de_la_compañia,operador_de_red,ciudad,direccion,medidor,ip,apn
Frt46809,0658414,4.0,ANA MARGARITA ALBIR SARMIENTO,ENEL CUNDINAMARCA,Bogotá D.C.,CRA 2 ESTE # 109-74,22051097.0,10.196.0.246,BIA.TIGO.COM
Frt47172,2511440,40.0,MUNCHER NIMIS CHICO 93-2,ENEL CUNDINAMARCA,Bogotá D.C.,KR 12 NO 93 - 43 IN LOCAL 2,22051232.0,10.87.223.172,BIA.CLARO.COM.CO
Frt47171,619906,41.0,MUNCHER CHICO 93-2,ENEL CUNDINAMARCA,Bogotá D.C.,KR 12 NO 93 - 57,22051231.0,10.87.223.245,BIA.CLARO.COM.CO
Frt47398,442380,87.0,MUNCHER CHAPINERO 61-1,ENEL CUNDINAMARCA,Bogotá D.C.,KR 9 NO 61 - 86,22051233.0,10.196.2.223,BIA.TIGO.COM
Frt47399,442381,88.0,MUNCHER CHAPINERO 61-2,ENEL CUNDINAMARCA,Bogotá D.C.,KR 9 NO 61 - 88,23101052.0,10.196.1.43,BIA.TIGO.COM
Frt47413,2449923,89.0,MUNCHER PLANTA CLL 71,ENEL CUNDINAMARCA,Bogotá D.C.,CL 71 A NO 17 - 46,22051237.0,10.196.0.255,BIA.TIGO.COM
Frt47401,4061289,91.0,MUNCHER COLINA 143,ENEL CUNDINAMARCA,Bogotá D.C.,KR 46 NO 143 - 42,22051239.0,10.196.58.9,BIA.TIGO.COM
Frt47424,7171497,93.0,EUROFUTURO S.A.S.,ENEL CUNDINAMARCA,Bogotá D.C.,CL 24 BIS NO 48 - 37 LC 4,22091071.0,10.196.1.31,BIA.TIGO.COM
Frt47423,7420456,94.0,MUNCHER CHICO 93-4,ENEL CUNDINAMARCA,Bogotá D.C.,CL 93 B NO 13 - 55,22091072.0,10.196.0.251,BIA.TIGO.COM
Frt47433,613249,95.0,MUNCHER CHICO 93-3,ENEL CUNDINAMARCA,Bogotá D.C.,CL 93 NO 12 - 11,22091073.0,10.196.1.3,BIA.TIGO.COM
Frt47407,3475023,97.0,MUNCHER SANTA BARBARA 122,ENEL CUNDINAMARCA,Bogotá D.C.,CL 122 NO 15 A - 64 PI 1,22091075.0,10.196.1.20,BIA.TIGO.COM
Frt47415,4726095,100.0,INSURGENTES SEDE CLL 93,ENEL CUNDINAMARCA,Bogotá D.C.,Calle 93b # 13-91 Local 2,22091083.0,10.196.1.7,BIA.TIGO.COM
Frt47708,2156468,868.0,KEEP & GO SEDE CLL 153,ENEL CUNDINAMARCA,Bogotá D.C.,Cra 7 # 153-69,22091086.0,10.87.214.90,BIA.CLARO.COM.CO
Frt47830,135160,990.0,SOCIEDAD COMERCIAL LA BUGUEÑA SA PLANTA 2,ENEL CUNDINAMARCA,Bogotá D.C.,CL 29 SUR NO 29 C - 66,22091092.0,10.87.224.19,BIA.CLARO.COM.CO
Frt48978,982352,991.0,TODOS COMEMOS S.A.S CUENTA 1,ENEL CUNDINAMARCA,Bogotá D.C.,Calle 196 b 20-91,22091105.0,10.87.214.101,BIA.CLARO.COM.CO
Frt49006,7011566,1232.0,BUFFALO WINGS CALLE 140,ENEL CUNDINAMARCA,Bogotá D.C.,CL 140 11 45 (Local 2),22091106.0,10.196.0.235,BIA.TIGO.COM
Frt49007,1544413,1233.0,BUFFALO WINGS CALLE 85,ENEL CUNDINAMARCA,Bogotá D.C.,CL 85 12 61 IN 3 (Cale 85 12-63 Dir Segun Usuario),22091107.0,10.196.1.8,BIA.TIGO.COM
Frt49033,7011567,1234.0,La Taquería - Calle 140,ENEL CUNDINAMARCA,Bogotá D.C.,CL 140 11 45,22091108.0,10.196.1.14,BIA.TIGO.COM
Frt49008,6561947,1235.0,DOS CHINGONES CALLE 106,ENEL CUNDINAMARCA,Bogotá D.C.,AK 19 106 -12 LOCAL 3,22091109.0,10.196.1.26,BIA.TIGO.COM
Frt49009,3603807,1236.0,BUFFALO WINGS CENTRO INTERNACIONAL,ENEL CUNDINAMARCA,Bogotá D.C.,CL 32 06B 43 (Calle 32 6B-32 Edificio San Martin segun el usuario),22091110.0,10.196.0.237,BIA.TIGO.COM
Frt49010,1105016,1237.0,BUFFALO WINGS ILARCO,ENEL CUNDINAMARCA,Bogotá D.C.,CL 114 56 92,22091111.0,10.196.0.225,BIA.TIGO.COM
Frt49078,5.5712e+16,587.0,CC EL DIAMANTE CLL 52 107,EPM ANTIOQUIA,MEDELLÍN,CL 52 CR 73 - 107,22093061.0,10.196.0.201,BIA.TIGO.COM
Frt49112,1517489,211.0,PETROPLASTING,ENEL CUNDINAMARCA,Bogotá D.C.,CL 17 A NO 97 - 10 PI 1,22091112.0,10.87.213.228,BIA.CLARO.COM.CO
Frt49183,1610074,105.0,ICOFORMAS S.A.S BODEGA 2,ENEL CUNDINAMARCA,Bogotá D.C.,CL 49 SUR 72B - 17 SANICOC BOD 2,22093063.0,10.196.1.12,BIA.TIGO.COM
Frt49198,1610073,106.0,ICOFORMAS S.A.S BODEGA 1,ENEL CUNDINAMARCA,Bogotá D.C.,CL 49 SUR 72B - 23 BODEGA 1 BARRIO LAS DELICIAS,22093064.0,10.196.1.5,BIA.TIGO.COM
Frt49443,517188,1835.0,OFICINA ADMINISTRATIVA - CR5,ENEL CUNDINAMARCA,Bogotá D.C.,CRA 5 #67 - 12,21104113.0,10.196.1.41,BIA.TIGO.COM
Frt49444,3299673,698.0,HOME DOMICILIOS 3,ENEL CUNDINAMARCA,Bogotá D.C.,CARRERA 58 # 169A-55 LOCAL 37 CC PUNTO 170,22091116.0,10.196.1.4,BIA.TIGO.COM
Frt49445,6332981,46.0,HOME DOMICILIOS 2,ENEL CUNDINAMARCA,Bogotá D.C.,AK 58 # 128-18 LOCAL 2 ,22091117.0,10.196.0.214,BIA.TIGO.COM
Frt49755,361874,2491.0,Autoniza KR 31 Américas,ENEL CUNDINAMARCA,Bogotá D.C.,KR 31 NO 22 C – 49 (Américas),22091081.0,10.87.213.119,BIA.CLARO.COM.CO
Frt49783,1658573,2493.0,Autoniza SA CLL 164 BODG 5 Toberin,ENEL CUNDINAMARCA,Bogotá D.C.,CL 164 NO 19B - 21 IN 5 BODEGA 5 LAS ORQUIDEAS BOGOTA,22091089.0,10.196.1.40,BIA.TIGO.COM
Frt49760,1658571,934.0,Autoniza CL 164 Toberín,ENEL CUNDINAMARCA,Bogotá D.C.,"CL 164 NO 19 B 21 – IN 5 (Toberín)
",22091185.0,10.196.1.21,BIA.TIGO.COM
Frt49776,4712067,1155.0,Banco Coopcentral Bogotá Local 103,ENEL CUNDINAMARCA,Bogotá D.C.,Av. Pepe Sierra #23-06 (Local 103),22091079.0,10.196.1.34,BIA.TIGO.COM
Frt49790,6273780,931.0,Autoniza CLL 170 - STAR NIZA 170,ENEL CUNDINAMARCA,Bogotá D.C.,"AC 170 NO 69 - 80 BOGOTÁ, D.C. SAN JOSÉ DE BAVARIA",21112455.0,10.196.1.15,BIA.TIGO.COM
Frt49775,3878171,2527.0,HOTEL CLICK CLACK SEDE BOGOTÁ,ENEL CUNDINAMARCA,Bogotá D.C.,AVENIDA CARRERA 11 NO 93 - 77,22093072.0,10.196.1.11,BIA.TIGO.COM
